,customer_id,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status
0,1.0,22,59000.0,RENT,123.0,PERSONAL,C,35000.0,16.02,10,1.0,3,DEFAULT
1,2.0,21,9600.0,OWN,5.0,EDUCATION,A,1000.0,11.14,1,,2,NO DEFAULT
2,3.0,25,9600.0,MORTGAGE,1.0,MEDICAL,B,5500.0,12.87,5,0.0,3,DEFAULT
3,4.0,23,65500.0,RENT,4.0,MEDICAL,B,35000.0,15.23,10,0.0,2,DEFAULT
4,5.0,24,54400.0,RENT,8.0,MEDICAL,B,35000.0,14.27,10,1.0,4,DEFAULT
5,6.0,21,9900.0,OWN,2.0,VENTURE,A,2500.0,7.14,1,0.0,2,DEFAULT
6,7.0,26,77100.0,RENT,8.0,EDUCATION,A,35000.0,12.42,10,,3,NO DEFAULT
7,8.0,24,78956.0,RENT,5.0,MEDICAL,A,35000.0,11.11,10,,4,NO DEFAULT
8,9.0,24,83000.0,RENT,8.0,PERSONAL,A,35000.0,8.9,10,,2,NO DEFAULT
9,10.0,21,10000.0,OWN,6.0,VENTURE,C,1600.0,14.74,1,0.0,3,DEFAULT
10,11.0,22,85000.0,RENT,6.0,VENTURE,A,35000.0,10.37,10,,4,NO DEFAULT
11,12.0,21,10000.0,OWN,2.0,HOMEIMPROVEMENT,A,4500.0,8.63,1,0.0,2,DEFAULT
12,13.0,23,95000.0,RENT,2.0,VENTURE,A,35000.0,7.9,10,,2,NO DEFAULT
13,14.0,26,108160.0,RENT,4.0,EDUCATION,D,35000.0,18.39,10,0.0,4,DEFAULT
14,15.0,23,115000.0,RENT,2.0,EDUCATION,A,35000.0,7.9,10,,4,NO DEFAULT
15,16.0,23,500000.0,MORTGAGE,7.0,DEBTCONSOLIDATION,A,30000.0,10.65,10,,3,NO DEFAULT
16,17.0,23,120000.0,RENT,0.0,EDUCATION,A,35000.0,7.9,10,,4,NO DEFAULT
17,18.0,23,92111.0,RENT,7.0,MEDICAL,E,35000.0,20.25,10,0.0,4,DEFAULT
18,19.0,23,113000.0,RENT,8.0,DEBTCONSOLIDATION,C,35000.0,18.25,10,0.0,4,DEFAULT
19,20.0,24,10800.0,MORTGAGE,8.0,EDUCATION,A,1750.0,10.99,4,0.0,2,DEFAULT
20,21.0,25,162500.0,RENT,2.0,VENTURE,A,35000.0,7.49,10,,4,NO DEFAULT
21,22.0,25,137000.0,RENT,9.0,PERSONAL,D,34800.0,16.77,10,1.0,2,NO DEFAULT
22,23.0,22,65000.0,RENT,4.0,EDUCATION,C,34000.0,17.58,10,0.0,4,DEFAULT
23,24.0,24,10980.0,OWN,0.0,PERSONAL,A,1500.0,7.29,4,1.0,3,NO DEFAULT
24,25.0,22,80000.0,RENT,3.0,PERSONAL,C,33950.0,14.54,10,1.0,4,DEFAULT
25,26.0,24,67746.0,RENT,8.0,HOMEIMPROVEMENT,B,33000.0,12.68,10,0.0,3,DEFAULT
26,27.0,21,11000.0,MORTGAGE,3.0,VENTURE,D,4575.0,17.74,1,1.0,3,DEFAULT
27,28.0,23,11000.0,OWN,0.0,PERSONAL,A,1400.0,9.32,3,,3,NO DEFAULT
28,29.0,24,65000.0,RENT,6.0,HOMEIMPROVEMENT,A,32500.0,9.99,10,,3,NO DEFAULT
29,30.0,21,11389.0,OTHER,5.0,EDUCATION,B,4000.0,12.84,1,1.0,2,DEFAULT
30,31.0,21,11520.0,OWN,5.0,MEDICAL,A,2000.0,11.12,1,0.0,3,DEFAULT
31,32.0,25,120000.0,RENT,2.0,VENTURE,A,32000.0,6.62,10,,2,NO DEFAULT
32,33.0,26,95000.0,RENT,7.0,HOMEIMPROVEMENT,B,31050.0,14.17,10,1.0,3,DEFAULT
33,34.0,25,306000.0,RENT,2.0,DEBTCONSOLIDATION,B,24250.0,13.85,10,,3,NO DEFAULT
34,35.0,26,300000.0,MORTGAGE,10.0,MEDICAL,B,7800.0,13.49,6,,4,NO DEFAULT
35,36.0,21,12000.0,OWN,5.0,EDUCATION,A,2500.0,7.51,1,0.0,4,DEFAULT
36,37.0,22,48000.0,RENT,1.0,EDUCATION,D,30000.0,18.39,10,0.0,2,DEFAULT
37,38.0,24,64000.0,RENT,8.0,DEBTCONSOLIDATION,C,30000.0,14.54,10,1.0,3,DEFAULT
38,39.0,25,75000.0,RENT,4.0,HOMEIMPROVEMENT,C,30000.0,16.89,10,1.0,4,DEFAULT
40,41.0,26,62050.0,RENT,6.0,MEDICAL,D,30000.0,17.99,10,0.0,2,DEFAULT
41,42.0,24,12000.0,OWN,4.0,VENTURE,A,2500.0,12.69,4,0.0,3,DEFAULT
42,43.0,26,300000.0,MORTGAGE,10.0,VENTURE,A,20000.0,7.88,10,,4,NO DEFAULT
43,44.0,23,300000.0,OWN,1.0,EDUCATION,E,24250.0,19.41,10,1.0,2,NO DEFAULT
44,45.0,26,300000.0,OWN,9.0,HOMEIMPROVEMENT,A,10000.0,10.38,6,,4,NO DEFAULT
45,46.0,26,300000.0,MORTGAGE,0.0,EDUCATION,C,25000.0,15.33,10,,3,NO DEFAULT
46,47.0,25,300000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,D,18000.0,16.45,10,,3,NO DEFAULT
47,48.0,26,80690.0,RENT,8.0,PERSONAL,A,30000.0,7.49,10,,3,NO DEFAULT
48,49.0,22,66300.0,RENT,4.0,MEDICAL,A,30000.0,12.69,10,,3,NO DEFAULT
49,50.0,26,89028.0,RENT,0.0,DEBTCONSOLIDATION,A,30000.0,6.62,10,,3,NO DEFAULT
51,52.0,23,78000.0,RENT,7.0,DEBTCONSOLIDATION,E,30000.0,18.62,10,1.0,3,DEFAULT
52,53.0,23,92004.0,RENT,6.0,PERSONAL,B,30000.0,15.23,10,1.0,3,DEFAULT
53,54.0,23,97000.0,RENT,7.0,VENTURE,A,30000.0,10.65,10,1.0,2,NO DEFAULT
54,55.0,25,120000.0,RENT,9.0,EDUCATION,A,30000.0,7.9,10,,4,NO DEFAULT
55,56.0,26,280000.0,RENT,4.0,PERSONAL,B,10000.0,15.96,6,1.0,3,NO DEFAULT
56,57.0,26,277104.0,RENT,0.0,VENTURE,A,20000.0,11.48,10,,3,NO DEFAULT
58,59.0,25,128000.0,RENT,9.0,PERSONAL,A,30000.0,7.29,10,,4,NO DEFAULT
60,61.0,21,131000.0,RENT,0.0,VENTURE,A,30000.0,5.99,10,,4,NO DEFAULT
61,62.0,22,275000.0,OWN,6.0,VENTURE,A,12000.0,11.58,10,,2,NO DEFAULT
63,64.0,25,221850.0,MORTGAGE,9.0,MEDICAL,C,25000.0,15.7,10,0.0,2,DEFAULT
64,65.0,22,70000.0,RENT,6.0,EDUCATION,C,29100.0,15.99,10,0.0,3,DEFAULT
65,66.0,22,12000.0,MORTGAGE,7.0,EDUCATION,C,1500.0,14.84,2,1.0,3,NO DEFAULT
66,67.0,26,260000.0,OWN,10.0,HOMEIMPROVEMENT,A,28000.0,10.99,10,,3,NO DEFAULT
